"SAMPN","CATEGORY","GPS","NTYPE","LETTR","RETMODE","AREA","MPO","CTFIP","ASSN","DAY","RIBUS","HHSIZ","HHBIC","HHVEH","HISP","RACE","RESTY","O_RESTY","OWN","O_OWN","CPLNS","PHLNS","FXLNS","INCOME","FUTUR","HTRIPS","HHWRK","HHSTU","HHLIC","HOLIDAY","HCITY","HSTATE","HZIP","HTOWN_ID","HTOWN","HSTATE10","HCOUNTY10","HCOUSUB10","HTRACT10","HBLKGRP10","HBLOCK10","HPUMA10","HHWGT","EXPWGT"
2000002,1.00,2.00,2.00,1.00,1,38.00,"OCPC",25023.00,668.00,3.00,2.00,2.00,0.00,3.00,2.00,1.00,1,,1.00,,2.00,1.00,,5,1.00,5,2.00,0.00,2.00,2,"HANSON, TOWN OF","MA","02341",123,"Hanson",25,23,28495,522101,1,1000,"04902",1.30,217.66
2000008,1.00,2.00,2.00,2.00,2,6.00,"MAPC",25017.00,758.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,4,,1.00,,2.00,1.00,,8,1.00,13,2.00,0.00,2.00,2,"NEWTON UPPER FALLS","MA","02464",207,"Newton",25,17,45560,374100,3,3016,"03400",1.39,232.87
2000017,1.00,2.00,2.00,1.00,2,6.00,"MAPC",25017.00,711.00,4.00,1.00,4.00,1.00,2.00,2.00,1.00,1,,1.00,,4.00,1.00,,8,1.00,20,4.00,2.00,2.00,2,"WEST NEWTON","MA","02465",207,"Newton",25,17,45560,374400,2,2012,"03400",2.01,336.70
2000018,1.00,2.00,2.00,1.00,2,6.00,"MAPC",25017.00,694.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1,,1.00,,2.00,1.00,,4,1.00,15,0.00,0.00,2.00,2,"NEWTON CENTER","MA","02459",207,"Newton",25,17,45560,373700,2,2022,"03400",1.46,244.84
2000035,1.00,2.00,2.00,1.00,1,11.00,"MAPC",25021.00,669.00,4.00,2.00,4.00,3.00,3.00,2.00,1.00,1,,1.00,,2.00,1.00,,8,1.00,14,2.00,1.00,2.00,2,"BRAINTREE, TOWN OF","MA","02184",40,"Braintree",25,21,7740,419500,2,2003,"03900",1.17,195.99
2000038,1.00,2.00,2.00,1.00,1,29.00,"SRPEDD",25005.00,675.00,3.00,2.00,1.00,0.00,1.00,2.00,1.00,1,,1.00,,0.00,1.00,,1,1.00,18,0.00,0.00,1.00,2,"MANSFIELD, TOWN OF","MA","02048",167,"Mansfield",25,5,38225,610100,1,1050,"04303",1.80,301.34
2000046,1.00,2.00,2.00,1.00,2,12.00,"MAPC",25021.00,684.00,5.00,2.00,2.00,1.00,2.00,2.00,1.00,1,,1.00,,2.00,1.00,,8,1.00,8,0.00,0.00,2.00,2,"MEDFIELD, TOWN OF","MA","02052",175,"Medfield",25,21,39765,406102,1,1006,"02400",1.26,212.07
2000053,1.00,2.00,2.00,1.00,2,6.00,"MAPC",25021.00,694.00,1.00,1.00,3.00,2.00,2.00,2.00,1.00,1,,1.00,,3.00,1.00,,7,1.00,16,2.00,3.00,2.00,2,"MILTON, TOWN OF","MA","02186",189,"Milton",25,21,41690,416102,1,1000,"03603",1.01,169.95
2000077,1.00,2.00,2.00,1.00,1,27.00,"CMRPC",25027.00,675.00,3.00,2.00,3.00,1.00,2.00,2.00,1.00,1,,1.00,,1.00,1.00,,4,1.00,18,1.00,0.00,2.00,2,"HOLDEN","MA","01520",134,"Holden",25,27,30560,728300,2,2012,"00302",1.65,276.18
2000081,1.00,2.00,2.00,1.00,2,38.00,"OCPC",25023.00,670.00,5.00,2.00,3.00,0.00,3.00,2.00,1.00,3,,1.00,,2.00,1.00,,6,4.00,12,1.00,0.00,3.00,2,"PEMBROKE","MA","02359",231,"Pembroke",25,23,52630,508200,2,2021,"04902",1.36,228.52
2000099,1.00,2.00,2.00,1.00,2,6.00,"MAPC",25021.00,694.00,1.00,1.00,2.00,0.00,2.00,2.00,1.00,1,,1.00,,0.00,1.00,,7,2.00,12,1.00,0.00,2.00,2,"MILTON, TOWN OF","MA","02186",189,"Milton",25,21,41690,416400,5,5000,"03603",1.00,167.21
2000100,1.00,2.00,2.00,1.00,2,13.00,"MVPC",25009.00,696.00,3.00,2.00,3.00,2.00,3.00,2.00,1.00,2,,1.00,,3.00,1.00,,6,1.00,4,2.00,1.00,3.00,2,"ANDOVER, TOWN OF","MA","01810",9,"Andover",25,9,1465,254200,3,3002,"01300",1.31,219.34
2000117,1.00,2.00,2.00,1.00,2,6.00,"MAPC",25025.00,711.00,4.00,2.00,1.00,0.00,1.00,2.00,2.00,4,,2.00,,0.00,1.00,,1,2.00,2,0.00,0.00,1.00,2,"JAMAICA PLAIN","MA","02130",35,"Boston",25,25,7000,110103,1,1007,"03305",1.54,258.99
2000122,1.00,2.00,2.00,1.00,1,18.00,"MRPC",25027.00,710.00,3.00,2.00,3.00,0.00,6.00,2.00,1.00,1,,1.00,,4.00,1.00,,6,1.00,13,2.00,0.00,3.00,2,"LUNENBURG","MA","01462",162,"Lunenburg",25,27,37420,712102,2,2017,"00301",0.91,152.35
2000133,1.00,2.00,2.00,2.00,1,12.00,"MAPC",25021.00,673.00,1.00,2.00,4.00,5.00,3.00,2.00,1.00,1,,1.00,,2.00,1.00,,7,1.00,22,2.00,2.00,2.00,2,"FRANKLIN","MA","02038",101,"Franklin",25,21,25172,442103,1,1019,"03601",0.82,138.46
2000140,1.00,2.00,2.00,1.00,2,9.00,"MAPC",25017.00,666.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1,,1.00,,1.00,1.00,,5,4.00,16,1.00,1.00,1.00,2,"MAYNARD, TOWN OF","MA","01754",174,"Maynard",25,17,39625,364102,2,2050,"01400",1.84,308.00
2000161,1.00,2.00,2.00,1.00,1,9.00,"MAPC",25017.00,689.00,3.00,2.00,2.00,0.00,1.00,2.00,1.00,3,,1.00,,1.00,1.00,,3,1.00,9,0.00,0.00,1.00,2,"FRAMINGHAM, TOWN OF","MA","01702",100,"Framingham",25,17,24925,383200,3,3003,"00504",1.85,310.42
2000178,1.00,2.00,2.00,1.00,2,25.00,"PVPC",25015.00,675.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,1,,1.00,,1.00,1.00,,5,1.00,6,1.00,2.00,1.00,2,"AMHERST","MA","01002",8,"Amherst",25,15,1325,820700,1,1010,"00200",1.86,312.33
