"SAMPN","VEHNO","YEAR","MAKE","O_MAKE","MODEL","BODY","O_BODY","FUEL","O_FUEL","USER","CNTV","O_CNTV","HHWGT","EXPWGT"
2000002,1,2000,16.00,,"IMPALA",1.00,,1.00,,1.00,1.00,,1.30,217.66
2000002,2,2003,16.00,,"DK/RF",4.00,,1.00,,2.00,1.00,,1.30,217.66
2000002,3,1989,23.00,,"DK/RF",99.00,,1.00,,2.00,2.00,"MAIL-IN",1.30,217.66
2000008,1,2005,50.00,,"PRIUS",1.00,,1.00,,2.00,1.00,,1.39,232.87
2000008,2,2006,50.00,,"CAMRY",1.00,,3.00,,1.00,1.00,,1.39,232.87
2000017,1,1997,12.00,,"A4",1.00,,1.00,,1.00,1.00,,2.01,336.70
2000017,2,1998,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,2.01,336.70
2000018,1,2008,97.00,"SMART CAR","FORTWO",1.00,,1.00,,1.00,2.00,"MAIL-IN",1.46,244.84
2000018,2,2003,33.00,,"RX 300",3.00,,1.00,,2.00,1.00,,1.46,244.84
2000035,1,2006,19.00,,"DURANGO",3.00,,1.00,,1.00,1.00,,1.17,195.99
2000035,2,2008,13.00,,"328XI",1.00,,1.00,,2.00,1.00,,1.17,195.99
2000035,3,2004,23.00,,"DK/RF",99.00,,1.00,,1.00,2.00,"NOT NEEDED",1.17,195.99
2000038,1,2001,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.80,301.34
2000046,1,1999,36.00,,"DK/RF",99.00,,1.00,,1.00,1.00,,1.26,212.07
2000046,2,2009,97.00,"DATSUN","MINI COOPER",1.00,,1.00,,2.00,1.00,,1.26,212.07
2000053,1,2007,15.00,,"CROSSOVER",3.00,,1.00,,3.00,1.00,,1.01,169.95
2000053,2,2003,52.00,,"V40",1.00,,1.00,,1.00,2.00,"MAIL-IN",1.01,169.95
2000077,1,1998,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,1.65,276.18
2000077,2,2005,19.00,,"NEON",1.00,,1.00,,3.00,1.00,,1.65,276.18
2000081,1,2003,50.00,,"CAMRY",1.00,,1.00,,3.00,1.00,,1.36,228.52
2000081,2,2006,50.00,,"COROLLA",1.00,,1.00,,1.00,1.00,,1.36,228.52
2000081,3,2001,19.00,,"CARAVAN",2.00,,1.00,,2.00,2.00,"MAIL-IN",1.36,228.52
2000099,1,2005,16.00,,"TRAIL BLAZER",3.00,,1.00,,2.00,1.00,,1.00,167.21
